Name,Diversity,Acceptance
DeVry University - Georgia,B+,0.84
Lake Superior State University,B+,0.92
Sam Houston State University,B+,0.73
Northeastern Illinois University,B+,0.67
Five Towns College,B+,0.6
SUNY Delhi,B+,0.54
William Peace University,B+,0.5
SUNY Oswego,B+,0.51
Indiana University - South Bend,B+,0.76
Cheyney University of Pennsylvania,B+,1.0
Asbury University,B+,0.57
Kettering University,B+,0.7
Catholic University of America,B+,0.79
Western State Colorado University,B+,0.97
Southwestern University,B+,0.44
Radford University,B+,0.83
Kansas City Art Institute,B+,0.58
Missouri University of Science & Technology,B+,0.88
Morningside College,B+,0.56
Potomac State College of West Virginia University,B+,1.0
King University - Tennessee,B+,0.44
Missouri Southern State University,B+,0.94
Siena College,B+,0.76
Angelo State University,B+,0.77
Seminole State College of Florida,B+,1.0
Fresno Pacific University,B+,0.63
Marygrove College,B+,0.57
Valley City State University,B+,0.86
Chicago State University,B+,0.21
Ohio University,B+,0.74
Nicholls State University,B+,0.9
Sonoma State University,B+,0.77
Fayetteville State University,B+,0.6
Our Lady of the Lake University,B+,0.68
University of Mary Washington,B+,0.83
William Jessup University,B+,0.76
Dominican University,B+,0.63
Albion College,B+,0.8
Texas A&M University - Commerce,B+,0.47
Northwest Nazarene University,B+,0.56
Lyon College,B+,0.59
Buena Vista University,B+,0.68
Cincinnati Christian University,B+,0.95
Cairn University,B+,0.99
Metropolitan State University - Minnesota,B+,1.0
Rogers State University,B+,0.82
Worcester State University,B+,0.69
Bethune-Cookman University,B+,0.64
Hastings College,B+,0.71
Henderson State University,B+,0.63
Lyndon State College,B+,0.98
Minnesota State University,B+,0.67
Belmont University,B+,0.8
University of North Carolina - Wilmington,B+,0.61
University of North Georgia,B+,0.96
Florida College,B+,0.81
Saginaw Valley State University,B+,0.76
Winston-Salem State University,B+,0.59
Peru State College,B+,1.0
SUNY College at Brockport,B+,0.53
University of South Carolina,B+,0.65
Vincennes University,B+,1.0
Skyline College - San Bruno,B+,1.0
University of California - Merced,B+,0.61
Lycoming College,B+,0.71
Hannibal-LaGrange University,B+,0.59
Indian River State College,B+,1.0
West Liberty University,B+,0.72
Utah State University,B+,0.97
Loyola University Maryland,B+,0.61
Evangel University,B+,0.61
Anna Maria College,B+,0.8
Sacred Heart University,B+,0.59
Troy University,B+,0.92
University of North Carolina at Asheville,B+,0.79
"The Art Institute of San Antonio, a branch of The Art Institute of Houston",B+,1.0
University of Houston - Clear Lake,B+,0.65
Rhode Island College,B+,0.72
Maryville University,B+,0.72
Elizabeth City State University,B+,0.7
University of Texas - El Paso,B+,1.0
Northern Kentucky University,B+,0.92
Lincoln College,B+,0.52
College of Charleston,B+,0.77
University of Nebraska at Omaha,B+,0.76
The College of New Jersey,B+,0.49
Wofford College,B+,0.72
University of South Dakota,B+,0.74
Providence College,B+,0.57
Monmouth University,B+,0.74
Elmhurst College,B+,0.55
South Dakota State University,B+,0.92
Wittenberg University,B+,0.77
Emory & Henry College,B+,0.76
Lancaster Bible College,B+,0.68
Penn State New Kensington,B+,0.79
SUNY College of Environmental Science & Forestry,B+,0.52
Lubbock Christian University,B+,0.96
Indiana University - Northwest,B+,0.79
Springfield College - Massachusetts,B+,0.64
Saint Michael's College,B+,0.76
University of Wisconsin - Eau Claire,B+,0.85
Saint Joseph's University,B+,0.82
Concordia University - Wisconsin,B+,0.67
Antelope Valley College,B+,1.0
Strayer University - Virginia,B+,1.0
Edward Waters College,B+,0.54
East Tennessee State University,B+,0.79
Clarkson University,B+,0.68
SUNY Morrisville State College,B+,0.58
Metropolitan College of New York,B+,0.53
University of Michigan - Flint,B+,0.74
Dordt College,B+,0.7
North Greenville University,B+,0.58
Meredith College,B+,0.6
California State University - Channel Islands,B+,0.68
Dallas Baptist University,B+,0.42
Auburn University,B+,0.78
Husson University,B+,0.72
The Art Institute of Pittsburgh,B+,1.0
The University of Virginia's College at Wise,B+,0.77
Duquesne University,B+,0.76
Bluefield College,B+,0.93
Savannah State University,B+,0.83
Penn State Mont Alto,B+,0.79
Marshall University,B+,0.88
Johnson State College,B+,0.95
Anderson University - Indiana,B+,0.6
Arkansas Tech University,B+,0.89
Piedmont College,B+,0.57
Abraham Baldwin Agricultural College,B+,0.77
University of Minnesota - Duluth,B+,0.76
Moravian College,B+,0.75
Texas Woman's University,B+,0.86
Trine University,B+,0.78
Loras College,B+,0.95
North Dakota State University,B+,0.94
Butler University,B+,0.7
Ferris State University,B+,0.78
Salem College,B+,0.62
Indiana University-Purdue University - Fort Wayne,B+,0.92
United States Naval Academy,B+,0.09
Carson-Newman University,B+,0.59
University of the District of Columbia,B+,1.0
Washington & Lee University,B+,0.24
Wilmington College,B+,0.93
University of Mary,B,0.96
Florida State College at Jacksonville,B,1.0
Missouri State University,B,0.86
California University of Pennsylvania,B,0.85
Endicott College,B,0.73
Salve Regina University,B,0.73
University of Connecticut - Tri-Campus,B,0.6
Penn State Worthington Scranton,B,0.81
McMurry University,B,0.53
University of Tennessee - Martin,B,0.7
Bethel College - Indiana,B,0.66
St. Mary's University - Texas,B,0.55
Dickinson College,B,0.47
Nevada State College,B,0.65
SUNY Fredonia,B,0.59
St. Cloud State University,B,0.86
Jacksonville State University,B,0.67
South University - Savannah,B,0.52
Slippery Rock University,B,0.68
Georgetown College,B,0.68
University of Pittsburgh - Greensburg,B,0.71
DeVry University - California,B,0.88
University of St. Thomas - Minnesota,B,0.84
Harding University,B,0.99
Concordia University - Nebraska,B,0.78
Marian University - Wisconsin,B,0.84
Olivet College,B,0.57
Seton Hill University,B,0.76
Yeshiva University,B,0.8
Texas Lutheran University,B,0.51
University of Northern Iowa,B,0.8
Kentucky Wesleyan College,B,0.64
Johnson University,B,0.58
California State University - Dominguez Hills,B,0.53
University of Saint Joseph,B,0.93
Roberts Wesleyan College,B,0.9
Eastern New Mexico University,B,0.5
Hope College,B,0.72
SUNY Geneseo,B,0.73
Sul Ross State University,B,0.8
Montana State University,B,0.83
Salem State University,B,0.75
Elon University,B,0.57
Truett-McConnell College,B,0.91
Martin Methodist College,B,1.0
North Carolina Central University,B,0.66
William Carey University,B,0.57
St. Catherine University,B,0.67
Governors State University,B,0.39
Central Michigan University,B,0.69
SUNY Institute of Technology at Utica-Rome,B,0.6
The College of Westchester,B,0.92
Saint Mary's College - Indiana,B,0.8
Texas A&M University - Kingsville,B,0.82
Northwestern State University of Louisiana,B,0.84
Lewis-Clark State College,B,0.99
University of Wisconsin - Stout,B,0.85
High Point University,B,0.72
Lynchburg College,B,0.69
Converse College,B,0.58
Cedar Crest College,B,0.68
Samford University,B,0.93
United States Air Force Academy,B,0.17
Johnson C. Smith University,B,0.46
Mary Baldwin University,B,0.97
Brevard College,B,0.41
CUNY Lehman College,B,0.3
Stephen F Austin State University,B,0.62
Spartan College of Aeronautics & Technology - Tulsa,B,0.77
Millersville University of Pennsylvania,B,0.73
University of Arkansas - Fort Smith,B,0.56
Michigan Technological University,B,0.75
Benedictine College,B,0.99
Columbia Basin College,B,1.0
D'Youville College,B,0.73
The College of St. Scholastica,B,0.61
Lipscomb University,B,0.61
Eastern Kentucky University,B,0.71
Northwestern College - Iowa,B,0.72
Dakota Wesleyan University,B,0.74
Franklin College,B,0.7
Lake Washington Institute of Technology,B,1.0
Le Moyne College,B,0.62
Philander Smith College,B,1.0
Talladega College,B,1.0
South Carolina State University,B,0.95
Simmons College,B,0.58
Feather River College,B,1.0
Heidelberg University,B,0.79
Cascadia Community College,B,1.0
SUNY College of Agriculture & Technology at Cobleskill,B,0.73
Edgewood College,B,0.77
DeSales University,B,0.78
Covenant College,B,0.94
Berry College,B,0.55
University of Arkansas at Monticello,B,1.0
Daytona State College,B,1.0
Ohio Northern University,B,0.69
Alvernia University,B,0.74
Minnesota State University - Moorhead,B,0.77
Edinboro University,B,0.96
Fitchburg State University,B,0.75
Grand Valley State University,B,0.81
Ouachita Baptist University,B,0.68
Delaware Valley University,B,0.69
Spalding University,B,0.5
Clemson University,B,0.51
Gordon State College,B,0.57
Western Carolina University,B,0.4
Milligan College,B,0.62
Wheeling Jesuit University,B,0.61
Otterbein University,B,0.75
Messiah College,B,0.79
Colorado Christian University,B,0.94
Medaille College,B,0.69
Bluefield State College,B,0.77
Mansfield University of Pennsylvania,B,0.89
University of Wisconsin - Green Bay,B,0.85
Taylor University,B,0.85
University of Tennessee - Chattanooga,B,0.79
United States Merchant Marine Academy,B,0.22
Ozark Christian College,B,1.0
Stephens College,B,0.68
Tennessee Technological University,B,0.68
Charter College - Alaska,B,1.0
Peninsula College,B,1.0
Harris-Stowe State University,B,1.0
Gwynedd Mercy University,B,0.69
Norfolk State University,B,0.79
St. Mary's College of Maryland,B,0.79
Unity College,B,0.91
Robert Morris University - Pennsylvania,B,0.78
Dakota State University,B,0.81
Virginia State University,B,0.77
Freed-Hardeman University,B,0.92
Oakland City University,B,0.55
Langston University,B,0.61
Pensacola State College,B,1.0
The Sage Colleges,B,0.54
University of Mount Union,B,0.75
Salish Kootenai College,B,1.0
MacMurray College,B,0.63
York College of Pennsylvania,B,0.43
Touro College,B,0.34
Appalachian State University,B,0.66
University of Cincinnati - Clermont,B,1.0
St. Norbert College,B,0.78
Pierce College at Fort Steilacoom,B,1.0
Washington & Jefferson College,B,0.43
Florida A&M University,B,0.51
Westfield State University,B,0.8
Mount Mercy University,B,0.61
Ball State University,B,0.61
University of Montevallo,B,0.7
Keene State College,B,0.79
SUNY Maritime College,B,0.68
Elizabethtown College,B,0.71
University of Wisconsin - River Falls,B,0.9
East Georgia State College,B,1.0
Nichols College,B,0.83
Bowie State University,B,0.57
University of Sioux Falls,B,0.92
Clarke University,B,0.72
Tarleton State University,B,0.5
DeVry University - Texas,B,0.94
University of Wisconsin - Stevens Point,B,0.9
Olivet Nazarene University,B,0.77
Montana State University - Billings,B,1.0
Bainbridge State College,B,1.0
Shippensburg University of Pennsylvania,B,0.89
Stockton University,B,0.64
Delaware Technical Community College - Terry,B,1.0
Jackson State University,B,0.68
Wisconsin Lutheran College,B,0.92
Penn State Fayette - Eberly Campus,B,0.81
Mount Saint Mary's University (CA),B,0.77
Longwood University,B,0.79
Northern New Mexico College,B,1.0
College of Health Care Professions - Houston Northwest,B,1.0
Montana State University - Northern,B,1.0
DeVry University - New Jersey,B,0.87
West Chester University of Pennsylvania,B,0.59
Shepherd University,B,0.9
Newberry College,B,0.56
Citadel Military College of South Carolina,B,0.77
Bellarmine University,B,0.84
Bryan College - Tennessee,B,0.46
Shawnee State University,B,1.0
"The Art Institute of California - Inland Empire, a campus of Argosy University",B,1.0
West Coast University - Los Angeles,B,0.83
SUNY Alfred State College,B,0.57
Our Lady of the Lake College,B,0.53
Fairmont State University,B,0.65
Lock Haven University,B,0.92
Indiana University - East,B,0.62
Brazosport College,B,1.0
Trinity Washington University,B,0.94
Fisk University,B,0.81
Bemidji State University,B,0.94
Alma College,B,0.68
Missouri Western State University,B,1.0
Indiana University - Southeast,B,0.85
Florida Technical College,B,1.0
Lourdes University,B,0.69
Blackburn College,B,0.55
Mississippi Valley State University,B,0.76
Saint Vincent College - Pennsylvania,B,0.7
SUNY Cortland,B,0.52
North Central University,B,0.54
St. Petersburg College,B,1.0
Red Rocks Community College,B,1.0
Brigham Young University,B,0.48
Malone University,B,0.69
Christopher Newport University,B,0.6
Whitworth University,B,0.62
Southwest Minnesota State University,B,0.64
California College - San Diego,B,1.0
Webster University,B,0.56
Cedarville University,B,0.74
Pima Medical Institute - Tucson,B,1.0
Alverno College,B,0.75
University of Scranton,B,0.72
Stonehill College,B,0.75
Concordia University - Ann Arbor,B,0.7
Morehouse College,B,0.76
Birmingham-Southern College,B,0.53
Saint Anselm College,B,0.73
Bethel University - Minnesota,B,0.95
University of Pikeville,B,1.0
Madison Area Technical College,B,1.0
SUNY College at Oneonta,B,0.49
Grambling State University,B,0.38
Midway College,B,0.46
Clark College,B,1.0
The Art Institute of Indianapolis,B,1.0
Bridgewater State University,B,0.81
Hampton University,B,0.69
Winona State University,B,0.62
West Coast University - Orange County,B,0.83
The Illinois Institute of Art - Schaumburg,B,1.0
Howard Payne University,B,0.85
Central Yeshiva Tomchei Tmimim Lubavitz,B,0.98
Houghton College,B,0.95
Gurnick Academy of Medical Arts,B,1.0
Doane University,B,0.77
Chipola College,B,1.0
Central College,B,0.64
University of Wisconsin - Platteville,B,0.94
Dunwoody College of Technology,B,0.75
Ohio State University - Newark,B,1.0
Claflin University,B,0.41
Spokane Falls Community College,B,1.0
Dillard University,B,0.48
Nazareth College,B,0.76
DeVry University - Ohio,B,0.86
Lake Michigan College,B,1.0
Olympic College,B,1.0
New York Film Academy - Hollywood,B,1.0
University of Southern Indiana,B,0.69
Wayne State College,B,1.0
Ashland University,B,0.77
Miami Dade College,B,1.0
Howard University,B,0.49
Ripon College,B,0.66
Schoolcraft College,B,1.0
Geneva College,B,0.73
Polk State College,B,1.0
Huntington University,B,0.84
Bloomsburg University of Pennsylvania,B,0.88
Benedict College,B,1.0
Viterbo University,B,0.66
Central Methodist University,B,0.58
University of Wisconsin - La Crosse,B,0.8
University of Wisconsin - Oshkosh,B,0.81
Mount Mary University,B,0.53
Illinois State University,B,0.88
Randolph-Macon College,B,0.66
Framingham State University,B,0.71
Corban University,B,0.31
Cornerstone University,B,0.73
Wilberforce University,B,0.55
Molloy College,B,0.76
Aquinas College - Michigan,B,0.72
Schreiner University,B,0.9
University of Arkansas at Pine Bluff,B,0.46
University of Northwestern - St. Paul,B,0.87
Keuka College,B,0.77
Rio Hondo College,B,1.0
Clarion University of Pennsylvania,B,0.96
Paine College,B,0.31
Purdue University Northwest - North Central,B,0.48
Hardin-Simmons University,B,0.6
Morehead State University,B,0.85
Bennett College for Women,B,0.95
Hodges University,B,0.94
Western Kentucky University,B,0.93
Edison State College,B,1.0
Texas A&M University - Galveston,B,0.55
Concordia College,B,0.78
Yakima Valley Community College,B,1.0
Northern Michigan University,B,0.7
Rasmussen College - Ocala,B,0.74
SUNY Empire State College,B,0.81
Eureka College,B,0.62
University of North Georgia - Gainesville,B,0.99
Virginia Union University,B,0.49
Miami University - Middletown,B,1.0
Saint Augustine's University,B,0.58
College of Central Florida,B-,1.0
Virginia Military Institute,B-,0.53
Clover Park Technical College,B-,1.0
Immaculata University,B-,0.79
Hampden-Sydney College,B-,0.55
College of Saint Mary,B-,0.61
Michigan Jewish Institute,B-,0.66
Stillman College,B-,0.57
United States Military Academy at West Point,B-,0.1
Simpson College,B-,0.89
Prairie View A & M University,B-,0.39
Lebanon Valley College,B-,0.72
Northwest Florida State College,B-,1.0
University of Pittsburgh - Johnstown,B-,0.81
Black Hills State University,B-,0.84
Grace College & Seminary,B-,0.77
Snow College,B-,1.0
Ranken Technical College,B-,1.0
National Louis University,B-,0.81
Grays Harbor College,B-,1.0
Miami University - Hamilton,B-,1.0
Bakersfield College,B-,1.0
Daemen College,B-,0.51
Franciscan University of Steubenville,B-,0.79
Central State University,B-,0.4
Pioneer Pacific College,B-,1.0
Pueblo Community College,B-,1.0
Bloomfield College,B-,0.6
St. John Fisher College,B-,0.62
University of Saint Francis - Indiana,B-,0.95
Saint Francis University,B-,0.74
Pasco-Hernando State College,B-,1.0
Carroll University,B-,0.94
Centralia College,B-,1.0
Rivier University,B-,0.57
Coppin State University,B-,0.37
Great Basin College,B-,1.0
CollegeAmerica - Phoenix,B-,1.0
Rasmussen College - Rockford,B-,0.77
DeVry College of New York,B-,0.84
Tennessee Wesleyan College,B-,0.65
Anderson University - South Carolina,B-,0.55
Glenville State College,B-,0.73
South Dakota School of Mines & Technology,B-,0.84
Atlanta Metropolitan State College,B-,1.0
Remington College - Dallas,B-,0.88
Plaza College,B-,0.29
Davenport University,B-,0.89
Skagit Valley College,B-,1.0
Pennsylvania College of Technology,B-,1.0
Sullivan University,B-,1.0
Bluffton University,B-,0.54
Gulf Coast State College,B-,1.0
Jarvis Christian College,B-,1.0
Martin Luther College,B-,0.78
Ohio University - Southern,B-,1.0
Western Nevada College,B-,1.0
Texas A&M International University,B-,0.48
Texas Southern University,B-,0.51
Georgia College & State University,B-,0.76
Heritage University,B-,1.0
Northwest Indian College,B-,1.0
Spelman College,B-,0.48
Oklahoma State University - Oklahoma City,B-,1.0
Strayer University - Georgia,B-,1.0
Maranatha Baptist University,B-,0.69
University of Texas - Rio Grande Valley,B-,0.82
East-West University,B-,1.0
Alcorn State University,B-,0.81
Haskell Indian Nations University,B-,0.7
Southern Technical College - Fort Myers,B-,1.0
Ohio State University - Marion,B-,1.0
Concord University,B-,0.85
Kent State University - Stark,B-,1.0
Southern University & A&M College,B-,0.79
Northwestern Michigan College,B-,1.0
Ohio State University - Mansfield,B-,1.0
Wichita State University,B-,0.95
CUNY Medgar Evers College,B-,0.99
Bismarck State College,B-,1.0
University of Maine at Farmington,B-,0.83
Fort Valley State University,B-,0.21
Modesto Junior College,B-,1.0
Massachusetts Maritime Academy,B-,0.74
Baker College of Flint,B-,1.0
Shasta College,B-,1.0
Rust College,B-,0.41
Indiana Wesleyan University,B-,0.95
Mount Vernon Nazarene University,B-,0.78
Rasmussen College - St. Cloud,B-,0.83
University of Montana - Western,B-,1.0
Jefferson College of Health Sciences,B-,0.41
Eastern Florida State College,B-,1.0
Alabama A&M University,B-,0.65
Lane College,B-,0.55
Waynesburg University,B-,0.86
Ohio University - Lancaster,B-,1.0
Alabama State University,B-,0.46
Kent State University - Ashtabula,B-,1.0
Lake-Sumter State College,B-,1.0
South Florida State College,B-,1.0
St. Augustine College,B-,1.0
Texas College,B-,1.0
College of the Ozarks,B-,0.12
Misericordia University,B-,0.71
Harrison College - Indianapolis,B-,1.0
Dine College,C+,1.0
Albany State University,C+,0.64
South University - West Palm Beach,C+,0.65
Ohio State University - Lima,C+,1.0
Platt College - Los Angeles,C+,1.0
Wright State University - Lake Campus,C+,0.99
Baker College of Muskegon,C+,1.0
University of Maine at Augusta,C+,1.0
Miles College,C+,1.0
Arkansas Baptist College,C+,1.0
Kent State University - Trumbull,C+,1.0
Morris College,C+,1.0
Kent State University - Geauga,C+,1.0
Kent State University - Tuscarawas,C+,1.0
Allen University,C+,1.0
West Virginia University at Parkersburg,C+,1.0
Tougaloo College,C+,0.39
Ohio University - Zanesville,C+,1.0
Kent State University - Salem,C+,1.0
Indiana University - Kokomo,C+,0.71
Trocaire College,C+,0.5
Galen College of Nursing - Louisville,C+,0.67
Granite State College,C+,1.0
Southern University at New Orleans,C+,0.21
Maine Maritime Academy,C+,0.65
State College of Florida - Manatee-Sarasota,C+,1.0
Southern California Institute of Technology,C+,1.0
Hondros College,C+,0.43
LeMoyne-Owen College,C+,1.0
Baker College of Owosso,C+,1.0
The Southern Baptist Theological Seminary,C+,0.39
Navajo Technical College,C+,1.0
Southwest University,C+,1.0
Baker College of Clinton Township,C+,1.0
Mount Carmel College of Nursing,C,0.82
Alice Lloyd College,C,0.35
St. Johns River State College,C,1.0
South University - Columbia,C,0.51
Ohio University - Chillicothe,C,1.0
Alpena Community College,C,1.0
Remington College - Memphis,C,0.81
Remington College - North Houston,C,0.86
Florida Gateway College,C,1.0
Baker College of Allen Park,C,1.0
Oglala Lakota College,C,1.0
Baker College of Jackson,C,1.0
South College - Knoxville,C,1.0
South Texas College,C,1.0
Baker College of Auburn Hills,C,1.0
Florida National University,C-,1.0
Boricua College,C-,1.0
Baker College of Cadillac,C-,1.0
United Talmudical Seminary,D+,1.0
Miami Regional University,D+,1.0
Uta Mesivta of Kiryas Joel,D+,1.0
Yeshivath Viznitz,D+,1.0
Academy of Art University,A+,1.0
The New England Conservatory of Music,A+,0.32
Soka University of America,A+,0.46
San Francisco Art Institute,A,0.65
Maharishi University of Management,A,0.75
New Mexico Military Institute,A,0.4
The Ailey School,A,0.57
University of Texas - MD Anderson Cancer Center,A,0.6
San Francisco Conservatory of Music,A,0.47
Oklahoma Wesleyan University,A,0.95
Montgomery College,A,1.0
University of Texas - Health Science Center at Houston,A,0.6
The Juilliard School,A,0.06
Gemological Institute of America - New York,A,1.0
Hillsdale Free Will Baptist College,A,0.51
University of Massachusetts - Boston,A,0.69
Marymount California University,A,1.0
Texas A&M University - Central Texas,A,0.6
Franklin W. Olin College of Engineering,A,0.11
Manhattan School of Music,A,0.46
Bard College at Simon's Rock,A,0.89
Goddard College,A,1.0
Methodist University,A,0.56
Kapiolani Community College,A,1.0
Northern Virginia Community College,A,1.0
Lindenwood University,A,0.55
Massachusetts College of Art & Design,A,0.71
The Curtis Institute of Music,A,0.04
Bethany College - West Virginia,A,0.7
University of Texas - Medical Branch at Galveston,A,0.6
Illinois Institute of Technology,A,0.53
Southwestern College - Kansas,A,0.91
Boston Architectural College,A,1.0
National American University - Rapid City,A,1.0
Seattle University,A,0.73
Marlboro College,A,0.94
Make-up Designory,A,1.0
Dean College,A,0.67
American Academy of Dramatic Arts - New York,A,0.75
LIM College,A,0.74
Tiffin University,A,0.93
International Culinary Center - New York,A,1.0
Graceland University,A,0.48
Los Angeles College of Music,A,1.0
Southern California University of Health Sciences,A,0.6
Drew University,A,0.56
Loma Linda University,A,0.6
SUNY Downstate Medical Center,A,0.6
Springfield College - School of Professional and Continuing Studies,A,0.6
University of Hartford,A,0.64
Word of Life Bible Institute,A,1.0
School of the Museum of Fine Arts,A,0.92
Augsburg College,A,0.59
Sarah Lawrence College,A,0.53
St. Andrews University - North Carolina,A,0.57
Columbia College - Centreville,A,1.0
St. Gregory's University,A,0.61
Gemological Institute of America - Carlsbad,A,1.0
Naropa University,A,0.8
Manhattanville College,A,0.74
Pine Manor College,A,0.71
Berkeley College - New York,A,1.0
University of Texas - Health Science Center at San Antonio,A,0.6
Arizona State University - Downtown Phoenix Campus,A,0.78
Thomas University,A,0.43
Austin Community College District,A,1.0
North American University,A,1.0
Georgia Perimeter College,A,0.53
New York Conservatory for Dramatic Arts,A,0.86
St. John's College - Santa Fe,A,0.81
University of La Verne,A,0.47
American Academy of Dramatic Arts - Los Angeles,A,0.16
Fairleigh Dickinson University,A,0.8
Rochester Institute of Technology,A,0.57
Jacksonville University,A,0.54
University of Minnesota - Crookston,A,0.77
Garden City Community College,A,1.0
Portland Community College,A,1.0
Albright College,A-,0.49
Long Island University - C.W. Post,A-,0.81
Texas Tech University Health Sciences Center,A-,0.6
Central Arizona College,A-,1.0
New York Institute of Technology,A-,0.68
Chabot College,A-,1.0
Hesston College,A-,1.0
Independence Community College,A-,1.0
New York School of Interior Design,A-,0.42
Salem International University,A-,1.0
City College of San Francisco,A-,1.0
Davis & Elkins College,A-,0.59
American Academy McAllister Institute of Funeral Service,A-,1.0
Resurrection University,A-,0.6
Southern Oregon University,A-,0.95
CUNY Graduate School & University Center,A-,0.6
St. Louis College of Pharmacy,A-,0.68
Orange Coast College,A-,1.0
American International College,A-,0.63
Antioch University - Santa Barbara,A-,0.6
Dallas Christian College,A-,0.51
Valley Forge Military College,A-,0.64
Northwood University - Midland,A-,0.69
The Cooper Union for the Advancement of Science and Art,A-,0.15
University of Charleston,A-,0.52
Columbia College Hollywood,A-,0.84
Diablo Valley College,A-,1.0
St. John's College - Annapolis,A-,0.78
De Anza College,A-,1.0
Liberty University,A-,0.22
Houston Community College,A-,1.0
Alliant International University,A-,0.92
Sierra Nevada College,A-,0.66
Andrew College,A-,0.99
Leeward Community College,A-,1.0
Howard Community College,A-,1.0
Wells College,A-,0.63
Moody Bible Institute,A-,0.68
Motorcycle & Marine Mechanics Institute - Orlando,A-,1.0
The Community College of Baltimore County,A-,1.0
Ohio Valley University,A-,0.47
Oglethorpe University,A-,0.78
College of the Atlantic,A-,0.76
Trinity International University - Deerfield,A-,0.66
Pasadena City College,A-,1.0
Delaware College of Art & Design,A-,0.74
MidAmerica Nazarene University,A-,0.61
Finlandia University,A-,0.46
Rosemont College,A-,0.71
Emmaus Bible College,A-,0.35
University of Maryland - Baltimore,A-,0.6
Fashion Institute of Design & Merchandising - San Diego,A-,0.56
San Juan College,A-,1.0
Trinidad State Junior College,A-,1.0
Samuel Merritt University,A-,0.6
Saint Mary's University of Minnesota,A-,0.78
Champlain College,A-,0.7
Rainy River Community College,A-,1.0
West Virginia State University,A-,0.94
Pennsylvania Academy of the Fine Arts,A-,0.98
San Jose City College,A-,1.0
Sterling College - Vermont,A-,0.7
Tidewater Community College,A-,1.0
Santa Barbara City College,A-,1.0
Ohlone College,A-,1.0
Dakota College at Bottineau,A-,1.0
Western Oklahoma State College,A-,1.0
University of the Cumberlands,A-,0.68
KD Conservatory,A-,0.55
Central Texas College,A-,1.0
College of Lake County,A-,1.0
Principia College,A-,0.75
"The Art Institute of Virginia Beach, a branch of The Art Institute of Atlanta",A-,1.0
DeVry University - Virginia,A-,0.9
Carrington College - Las Vegas,A-,1.0
San Jacinto College,A-,1.0
Dawson Community College,A-,1.0
Berkeley City College,A-,1.0
Cottey College,A-,0.74
Roseman University of Health Sciences,A-,0.6
Joffrey Ballet School - American Ballet Center,A-,0.76
University of Alaska Fairbanks,A-,0.73
McNally Smith College of Music,A-,0.49
Cambridge College,A-,1.0
Central Piedmont Community College,A-,1.0
New Hope Christian College,A-,0.96
DigiPen Institute of Technology,A-,0.47
Irvine Valley College,A-,1.0
Green Mountain College,A-,0.66
SAE Institute of Technology - New York,A-,1.0
Siena Heights University,A-,0.77
Clark Atlanta University,A-,0.51
Thomas Nelson Community College,A-,1.0
Merrimack College,A-,0.79
Providence Christian College,A-,0.5
CUNY Borough of Manhattan Community College,A-,1.0
Western Nebraska Community College,A-,1.0
Pratt Institute,A-,0.57
Thomas College,A-,0.92
CUNY Queensborough Community College,A-,1.0
Eastern Oregon University,A-,0.97
Mid-Plains Community College,A-,1.0
Prescott College,A-,0.7
Northwest Vista College,A-,1.0
Garrett College,A-,1.0
Golden West College,A-,1.0
Fashion Institute of Design & Merchandising - San Francisco,A-,0.48
Kentucky Christian University,A-,0.36
City Colleges of Chicago - Harold Washington College,A-,1.0
Northwest Christian University,A-,0.68
Shenandoah University,A-,0.82
Las Positas College,A-,1.0
Cosumnes River College,A-,1.0
Williston State College,A-,1.0
Lawrence Technological University,A-,0.55
Cumberland University,A-,0.49
Rochester College,A-,0.58
Oklahoma City Community College,A-,1.0
The King's College - New York,A-,0.4
ASA College,A-,1.0
Embry-Riddle Aeronautical University - Worldwide,A-,0.66
Sacramento City College,A-,1.0
Hawaii Community College,A-,1.0
Galveston College,A-,1.0
Greenville College,A-,0.56
Bradley University,A-,0.66
Lamar State College - Port Arthur,A-,1.0
Barton County Community College,A-,1.0
Northeastern Oklahoma A&M College,A-,1.0
William Woods University,A-,0.73
Thomas Aquinas College,A-,0.75
Eastwick College,A-,0.69
Presentation College,A-,0.62
Lake Tahoe Community College,A-,1.0
Conservatory of Recording Arts & Sciences,A-,1.0
Ave Maria University,A-,0.43
Lindsey Wilson College,A-,1.0
City College - Fort Lauderdale,B+,1.0
Mt. San Antonio College,B+,1.0
New Hampshire Institute of Art,B+,0.98
J Sargeant Reynolds Community College,B+,1.0
Hartwick College,B+,0.81
CUNY LaGuardia Community College,B+,1.0
Iowa Central Community College,B+,1.0
St. Philip's College,B+,1.0
Benedictine University,B+,0.77
Baton Rouge Community College,B+,1.0
Coffeyville Community College,B+,1.0
Aerosim Flight Academy,B+,1.0
SUNY Westchester Community College,B+,1.0
John Paul the Great Catholic University,B+,0.95
University of Southern Maine,B+,0.88
Mission College,B+,1.0
United States University,B+,1.0
San Antonio College,B+,1.0
City College - Miami,B+,1.0
Louisburg College,B+,0.78
LeTourneau University,B+,0.45
Western Texas College,B+,1.0
Connors State College,B+,1.0
New Mexico State University - Alamogordo,B+,1.0
Bryn Athyn College,B+,0.42
Wilson College,B+,0.45
College of the Desert,B+,1.0
York Technical College,B+,1.0
Porter & Chester Institute - Stratford,B+,1.0
Colby Community College,B+,1.0
