Name,Diversity,Acceptance
Purdue University,A,0.59
Penn State Greater Allegheny,A,0.79
Oklahoma City University,A,0.7
University of Texas - Arlington,A,0.66
Newbury College,A,0.79
Philadelphia University,A,0.64
Brigham Young University - Hawaii,A,0.36
Walla Walla University,A,0.56
Pepperdine University,A,0.38
Rollins College,A,0.6
La Sierra University,A,0.45
University of Missouri - Kansas City,A,0.63
Southern Adventist University,A,0.38
Trinity College - Connecticut,A,0.33
California State Polytechnic University - Pomona,A,0.39
University of Texas - Dallas,A,0.61
Denison University,A,0.48
California State University - Fullerton,A,0.42
Loyola University Chicago,A,0.71
Mercer University,A,0.67
Kean University,A,0.74
Saint Peter's University,A,0.67
California Lutheran University,A,0.62
La Roche College,A,0.95
Northwestern Oklahoma State University,A,0.48
University of Denver,A,0.73
Michigan State University,A,0.66
Colorado College,A,0.17
St. Francis College,A,0.79
New Mexico State University,A,0.66
College of William & Mary,A,0.34
California Baptist University,A,0.65
University of San Diego,A,0.52
SUNY Purchase College,A,0.41
Georgia State University,A,0.57
Johnson & Wales University,A,0.82
Florida International University,A,0.5
Missouri Valley College,A,0.46
Hampshire College,A,0.63
Iona College,A,0.91
Avila University,A,0.51
CUNY Baruch College,A,0.32
Berea College,A,0.37
Wheaton College - Massachusetts,A,0.65
Robert Morris University - Illinois,A,0.24
Ohio Wesleyan University,A,0.75
University of North Carolina at Charlotte,A,0.63
Guilford College,A,0.63
University of Minnesota - Twin Cities,A,0.45
University of Evansville,A,0.7
University of Colorado - Denver,A,0.67
Indiana University - Bloomington,A,0.78
California State University - Long Beach,A,0.34
Concordia University Irvine,A,0.59
Christian Brothers University,A,0.46
Lawrence University,A,0.68
University of Washington - Tacoma,A,0.83
Washington State University,A-,0.8
University of Connecticut - Stamford,A-,0.62
Rensselaer Polytechnic Institute,A-,0.44
Pacific University,A-,0.79
Dominican College of Blauvelt,A-,0.71
Colorado Technical University - Colorado Springs,A-,1.0
Skidmore College,A-,0.37
Ohio State University,A-,0.49
Upper Iowa University,A-,0.66
Fort Lewis College,A-,0.86
California State University - Northridge,A-,0.46
Wesleyan College,A-,0.43
Wesley College,A-,0.6
University of Central Florida,A-,0.49
Penn State,A-,0.51
Stetson University,A-,0.63
Barton College,A-,0.42
College of Mount Saint Vincent,A-,0.68
University of West Alabama,A-,0.73
Emerson College,A-,0.49
Worcester Polytechnic Institute,A-,0.49
Waldorf University,A-,0.66
Point University,A-,0.49
Huston-Tillotson University,A-,0.47
The College of Idaho,A-,0.9
Judson University,A-,0.71
Colgate University,A-,0.27
University of Massachusetts - Amherst,A-,0.58
Goshen College,A-,0.66
University of South Alabama,A-,0.78
Azusa Pacific University,A-,0.81
Western Oregon University,A-,0.88
Central Christian College of Kansas,A-,0.5
Adelphi University,A-,0.72
University of California - Riverside,A-,0.56
Bentley University,A-,0.42
University of New Mexico,A-,0.58
Cameron University,A-,1.0
Penn State Hazleton,A-,0.84
Valparaiso University,A-,0.82
Allegheny College,A-,0.68
Lafayette College,A-,0.3
Lehigh University,A-,0.26
La Salle University,A-,0.75
Rider University,A-,0.69
Lake Erie College,A-,0.56
Holy Cross College,A-,0.91
California Institute of the Arts,A-,0.25
Lewis & Clark College,A-,0.63
Willamette University,A-,0.78
University of Virginia,A-,0.3
Rutgers University - Camden,A-,0.58
ECPI University,A-,0.84
Westminster College - Missouri,A-,0.64
Penn State Berks,A-,0.85
Manhattan College,A-,0.67
DePauw University,A-,0.58
University of the Incarnate Word,A-,0.92
California State University - San Marcos,A-,0.54
Bethany College - Kansas,A-,0.99
University of Nevada - Reno,A-,0.79
Kennesaw State University,A-,0.53
Averett University,A-,0.61
University of Florida,A-,0.48
Queens University of Charlotte,A-,0.67
University of Kansas,A-,0.93
Mercy College,A-,0.66
Loyola University New Orleans,A-,0.9
University of Central Oklahoma,A-,0.7
Southern Methodist University,A-,0.49
Wagner College,A-,0.69
University of Toledo,A-,0.93
University of Texas - San Antonio,A-,0.78
College for Creative Studies,A-,0.5
University of Illinois at Springfield,A-,0.63
University of Wisconsin - Milwaukee,A-,0.86
University of Texas - Permian Basin,A-,0.84
Linfield College,A-,0.84
Connecticut College,A-,0.4
Bates College,A-,0.22
Oberlin College,A-,0.29
University of Missouri - St. Louis,A-,0.76
DeVry University - Illinois,A-,0.78
Cleveland State University,A-,0.64
St. Lawrence University,A-,0.46
National University,A-,1.0
University of Alabama - Birmingham,A-,0.6
Colby-Sawyer College,A-,0.9
University of Arkansas at Little Rock,A-,0.9
Midwestern State University,A-,0.76
Adventist University of Health Sciences,A-,0.6
SUNY College at Old Westbury,A-,0.5
Indiana State University,A-,0.85
William Penn University,A-,0.57
Wentworth Institute of Technology,A-,0.67
Montclair State University,A-,0.7
California State University - Monterey Bay,A-,0.49
"The Art Institute of Washington, a branch of The Art Institute of Atlanta",A-,1.0
Santa Fe College,A-,1.0
Randolph College,A-,0.81
Penn State Brandywine,A-,0.83
Hope International University,A-,0.34
Palm Beach Atlantic University,A-,0.93
Foothill College,A-,1.0
Austin College,A-,0.54
Embry-Riddle Aeronautical University - Prescott,A-,0.79
Boston College,A-,0.29
Southern Wesleyan University,A-,0.62
California State University - Sacramento,A-,0.67
Lincoln University - Missouri,A-,1.0
Florida Memorial University,A-,0.24
Ferrum College,A-,0.73
Utica College,A-,0.83
University of North Carolina at Pembroke,A-,0.74
Cornell College,A-,0.7
Spring Hill College,A-,0.41
Chestnut Hill College,A-,0.93
Hood College,A-,0.79
Oregon State University,A-,0.78
Penn State Schuylkill,A-,0.73
Regent University,A-,0.84
Saint Louis University,A-,0.63
Castleton University,A-,0.97
Washington College,A-,0.54
Lenoir-Rhyne University,A-,0.84
Wayland Baptist University,A-,0.99
Ohio Dominican University,A-,0.81
Wayne State University,A-,0.8
Fairleigh Dickinson University - College at Florham,A-,0.83
University of North Carolina at Chapel Hill,A-,0.31
University of Rhode Island,A-,0.74
Wilkes University,A-,0.82
Wake Forest University,A-,0.29
University of North Carolina - Greensboro,A-,0.59
University of Wisconsin - Parkside,A-,0.82
Mississippi College,A-,0.82
Southern Illinois University Carbondale,A-,0.81
Regis University,A-,0.66
Santa Monica College,A-,1.0
Johnson & Wales University - Denver,A-,0.81
CUNY Queens College,A-,0.4
Mount Ida College,A-,0.63
University of Utah,A-,0.81
Cornish College of the Arts,A-,0.68
University of Massachusetts - Lowell,A-,0.57
Greensboro College,A-,0.75
Concordia University - Minnesota,A-,0.55
Park University,A-,0.4
Hollins University,A-,0.61
University of Minnesota - Morris,A-,0.6
Kenyon College,A-,0.26
Tennessee State University,A-,1.0
Laguna College of Art & Design,A-,0.37
William Paterson University of New Jersey,A-,0.74
University of Wyoming,A-,0.96
Columbia College - South Carolina,A-,0.89
College of Saint Elizabeth,A-,0.63
Alderson Broaddus College,A-,0.54
Columbus College of Art & Design,A-,0.77
Warner University,A-,0.51
University of Detroit Mercy,A-,0.73
University of Memphis,A-,0.4
Virginia Tech,A-,0.73
Montreat College,A-,0.54
Evergreen State College,A-,0.98
Cleveland Institute of Art,A-,0.65
Concordia University - Oregon,A-,0.51
Marietta College,A-,0.72
Fort Hays State University,A-,0.86
Southeastern Oklahoma State University,A-,0.72
Tabor College,A-,0.55
Culver-Stockton College,A-,0.56
University of Houston - Downtown,A-,0.78
University of Houston - Victoria,A-,0.53
Minot State University,A-,0.57
University of Massachusetts - Dartmouth,A-,0.76
San Diego Mesa College,A-,1.0
St. Olaf College,A-,0.36
Wingate University,A-,0.7
College of the Holy Cross,A-,0.37
McKendree University,A-,0.64
Florida Gulf Coast University,A-,0.61
University of Colorado - Boulder,A-,0.8
University of Maryland Eastern Shore,A-,0.49
Bryant University,A-,0.72
Northeastern State University,A-,0.93
University of Wisconsin - Superior,A-,0.94
Fontbonne University,A-,0.97
Adams State University,A-,0.64
Florida State University,A-,0.56
Becker College,A-,0.67
McDaniel College,A-,0.8
Augusta University,A-,0.74
New Mexico Institute of Mining & Technology,A-,0.24
University of Baltimore,A-,0.53
University of Houston,A-,0.6
Mills College,A-,0.72
Oklahoma State University,A-,0.75
Southwestern Oklahoma State University,A-,0.92
Southeast Missouri State University,A-,0.84
Eastern Michigan University,A-,0.75
University of Alaska Anchorage,A-,0.71
Southeastern University,A-,0.46
Towson University,A-,0.73
Idaho State University,A-,1.0
Georgia Southern University,A-,0.6
Kansas Wesleyan University,A-,0.62
Delta State University,A-,0.87
Tulane University,A-,0.31
University of Great Falls,A-,0.6
University of the Sciences,A-,0.58
California State University - Fresno,A-,0.52
University of Alabama - Huntsville,A-,0.81
University of Valley Forge,A-,0.95
Iowa State University,A-,0.87
Western Michigan University,A-,0.82
Xavier University,A-,0.72
Northern Illinois University,A-,0.5
Felician College,A-,0.79
United States Coast Guard Academy,A-,0.2
Briar Cliff University,A-,0.62
Virginia Wesleyan College,A-,0.93
University of North Carolina School of the Arts,A-,0.34
West Virginia University Institute of Technology,A-,0.61
Adrian College,A-,0.61
Mitchell College,A-,0.74
Pacific Lutheran University,A-,0.76
Middle Tennessee State University,A-,0.73
Central Connecticut State University,A-,0.59
Caldwell University,A-,0.64
University of Science & Arts of Oklahoma,A-,0.66
The Illinois Institute of Art - Chicago,A-,1.0
Point Park University,A-,0.71
University of North Florida,A-,0.57
Central Baptist College,A-,0.47
Concordia University Chicago,A-,0.5
University of Maryland - University College,A-,1.0
Mercyhurst University,A-,0.8
University of Cincinnati,A-,0.86
Illinois Wesleyan University,A-,0.62
Grand View University,A-,0.98
Hobart & William Smith Colleges,A-,0.56
Bay Path University,A-,0.77
Monmouth College,A-,0.62
University of Mobile,A-,0.61
Penn State Beaver,A-,0.82
Juniata College,A-,0.77
CUNY Hunter College,A-,0.39
Gannon University,A-,0.76
Lamar University,A-,0.79
CUNY John Jay College of Criminal Justice,A-,0.37
Emporia State University,A-,0.87
University of Wisconsin,A-,0.58
University of South Florida - St. Petersburg,A-,0.47
University of Hawaii - Maui College,A-,1.0
New College of Florida,A-,0.61
Everglades University,A-,0.96
Keiser University - Fort Lauderdale,A-,0.49
University of Texas - Tyler,A-,0.64
Columbus State University,A-,0.56
University of Central Arkansas,A-,0.92
Penn State Altoona,A-,0.89
Georgia Gwinnett College,A-,1.0
Frostburg State University,A-,0.63
SUNY Canton,A-,0.85
University of Notre Dame,A-,0.2
West Texas A&M University,A-,0.67
Shorter University,A-,0.63
University of North Alabama,A-,0.58
Ursinus College,A-,0.83
Whitman College,A-,0.43
Albany College of Pharmacy & Health Sciences,A-,0.66
University of Oklahoma,A-,0.78
California State University - Bakersfield,A-,0.69
California State University - Chico,A-,0.63
Hiram College,A-,0.58
Oklahoma Baptist University,A-,0.61
Centenary College of Louisiana,A-,0.67
CUNY Brooklyn College,A-,0.37
Boise State University,A-,0.8
Rockford University,A-,0.54
Northwest Missouri State University,A-,0.75
Union College - Kentucky,A-,0.69
University of West Florida,A-,0.42
University of Kentucky,A-,0.89
Brescia University,A-,0.48
Valdosta State University,A-,0.5
Mars Hill College,A-,0.61
Bethel University - Tennessee,A-,0.84
Stevens Institute of Technology,A-,0.44
Roger Williams University,A-,0.78
McPherson College,A-,0.73
University of Hawaii - West Oahu,A-,0.7
Kent State University,A-,0.85
Lander University,A-,0.62
Texas Tech University,A-,0.63
University of Pittsburgh,A-,0.54
Calvin College,A-,0.74
University of South Carolina - Beaufort,A-,0.63
Notre Dame College,A-,0.91
University of South Florida - Sarasota-Manatee,A-,0.34
Hamline University,A-,0.72
West Virginia University,A-,0.86
Columbia College - Missouri,A-,1.0
Georgia Highlands College,A-,1.0
Rhodes College,A-,0.47
University of Dayton,A-,0.58
New Mexico Highlands University,A-,1.0
Sterling College - Kansas,A-,0.41
Miami University,A-,0.65
California Polytechnic State University - San Luis Obispo,A-,0.31
Brandman University,A-,0.75
Morgan State University,A-,0.67
The College of Saint Rose,A-,0.82
Rose-Hulman Institute of Technology,A-,0.58
Huntingdon College,A-,0.58
North Carolina State University,A-,0.5
Gettysburg College,A-,0.4
McNeese State University,A-,0.82
Dominican University of California,A-,0.79
Western New England University,A-,0.81
University of Delaware,A-,0.67
Milwaukee School of Engineering,A-,0.65
Arizona Christian University,A-,0.51
Coe College,A-,0.63
CUNY City College of New York,A-,0.43
Wabash College,A-,0.61
Campbell University,A-,0.74
Arcadia University,A-,0.59
Florida Southern College,A-,0.45
Defiance College,A-,0.65
Humboldt State University,A-,0.77
St. Bonaventure University,A-,0.66
Presbyterian College,A-,0.62
Eastern Mennonite University,A-,0.62
Dixie State University,A-,1.0
Illinois College,A-,0.61
University of Arkansas,A-,0.6
University of Findlay,A-,0.97
University of Missouri,A-,0.78
Southern Arkansas University,A-,0.67
Cogswell Polytechnical College,A-,0.61
Texas A&M University - Corpus Christi,A-,0.84
Canisius College,A-,0.87
California State University - Los Angeles,A-,0.68
Wartburg College,A-,0.74
Plymouth State University,A-,0.74
Belhaven University,A-,0.51
Union College - New York,A-,0.38
Stratford University,A-,1.0
Lesley University,A-,0.67
Quincy University,A-,0.63
Central Washington University,A-,0.82
Eckerd College,A-,0.72
SUNY Buffalo State College,A-,0.62
University of Pittsburgh - Bradford,A-,0.63
University of Idaho,A-,0.72
Brenau University,A-,0.66
George Fox University,A-,0.77
Xavier University of Louisiana,A-,0.66
Calumet College of St. Joseph,A-,0.34
Arkansas State University,A-,0.7
"The Art Institute of Austin, a branch of The Art Institute of Houston",A-,1.0
Wheaton College - Illinois,A-,0.71
Ithaca College,A-,0.67
Western Illinois University,B+,0.6
University of Dallas,B+,0.64
Coastal Carolina University,B+,0.6
University of Dubuque,B+,0.77
University of South Carolina - Aiken,B+,0.57
Muhlenberg College,B+,0.48
Cabrini College,B+,0.72
Lasell College,B+,0.78
Louisiana State University,B+,0.77
East Stroudsburg University of Pennsylvania,B+,0.84
Dickinson State University,B+,0.93
Southern Connecticut State University,B+,0.65
Baker University,B+,0.82
University of Louisiana - Lafayette,B+,0.55
Oklahoma Christian University,B+,0.59
Limestone College,B+,0.46
Clayton State University,B+,0.39
Louisiana Tech University,B+,0.64
Lewis University,B+,0.62
Seattle Pacific University,B+,0.82
Wright State University,B+,0.96
University of Nebraska - Lincoln,B+,0.76
University of Jamestown,B+,0.65
Franklin Pierce University,B+,0.8
Faulkner University,B+,0.57
Eastern Washington University,B+,0.82
Hendrix College,B+,0.82
Kansas State University,B+,0.95
Mayville State University,B+,1.0
Marquette University,B+,0.74
Goucher College,B+,0.77
Seattle Central College,B+,1.0
Salisbury University,B+,0.61
California State University - San Bernardino,B+,0.65
Eastern Connecticut State University,B+,0.64
Texas State University,B+,0.71
California State University Maritime Academy,B+,0.66
Trinity Christian College,B+,0.88
California State University - Stanislaus,B+,0.71
Ottawa University,B+,0.41
University of Indianapolis,B+,0.73
Warren Wilson College,B+,0.84
Mississippi State University,B+,0.65
Gordon College,B+,0.93
Houston Baptist University,B+,0.68
Centre College,B+,0.71
Niagara University,B+,0.85
Bucknell University,B+,0.25
East Carolina University,B+,0.69
Winthrop University,B+,0.67
University of Louisville,B+,0.72
Villanova University,B+,0.48
Carroll College,B+,0.64
Valencia College,B+,1.0
SUNY Plattsburgh,B+,0.5
John Brown University,B+,0.74
Curry College,B+,0.88
Union University,B+,0.69
Trevecca Nazarene University,B+,0.73
University of Saint Mary,B+,0.49
University of North Dakota,B+,0.82
Northland College,B+,0.57
Marywood University,B+,0.71
East Central University,B+,0.97
St. Ambrose University,B+,0.73
Creighton University,B+,0.7
Baylor University,B+,0.44
Penn State Erie - The Behrend College,B+,0.87
New England Institute of Technology,B+,1.0
University of Puget Sound,B+,0.79
University of New Hampshire,B+,0.79
Susquehanna University,B+,0.76
King's College - Pennsylvania,B+,0.72
Wiley College,B+,1.0
Vanguard University of Southern California,B+,0.68
Bethel College - Kansas,B+,0.53
Augustana College - Illinois,B+,0.49
Marian University - Indiana,B+,0.56
Brookline College - Phoenix,B+,1.0
University of Alabama,B+,0.54
Louisiana College,B+,0.69
University of Mississippi,B+,0.79
Rowan University,B+,0.71
Sewanee - The University of the South,B+,0.41
University of Cincinnati - Blue Ash College,B+,1.0
East Texas Baptist University,B+,0.55
SUNY Farmingdale State College,B+,0.44
Kentucky State University,B+,0.38
Murray State University,B+,0.91
Midland College,B+,1.0
Muskingum University,B+,0.74
Young Harris College,B+,0.52
Gardner-Webb University,B+,0.53
West Virginia Wesleyan College,B+,0.77
Saint Xavier University,B+,0.75
Austin Peay State University,B+,0.88
Texas Christian University,B+,0.43
Oklahoma Panhandle State University,B+,0.68
Highline Community College,B+,1.0
Bob Jones University,B+,0.82
Maryville College,B+,0.67
Colorado State University,B+,0.81
Mount St. Mary's University,B+,0.67
University of Southern Mississippi,B+,0.58
Rocky Mountain College,B+,0.7
Gonzaga University,B+,0.73
North Central College,B+,0.57
Louisiana State University - Alexandria,B+,0.68
SUNY New Paltz,B+,0.42
North Carolina A&T State University,B+,0.6
Delaware State University,B+,0.44
University of St. Francis - Illinois,B+,0.51
Emmanuel College - Georgia,B+,0.34
Charleston Southern University,B+,0.6
Texas A&M University - Texarkana,B+,0.71
University of Georgia,B+,0.53
Milwaukee Institute of Art & Design,B+,0.62
University of Louisiana - Monroe,B+,0.88
Southwestern Assemblies of God University,B+,0.28
University of South Carolina - Upstate,B+,0.56
Campbellsville University,B+,0.76
Eastern Illinois University,B+,0.5
James Madison University,B+,0.73
Armstrong Atlantic State University,B+,0.74
Chadron State College,B+,1.0
John Carroll University,B+,0.82
Westmont College,B+,0.81
Youngstown State University,B+,0.71
Marist College,B+,0.45
CUNY New York City College of Technology,B+,0.74
University of Colorado - Colorado Springs,B+,0.92
Southern Illinois University Edwardsville,B+,0.88
Eastern Nazarene College,B+,0.61
Millsaps College,B+,0.53
Indiana University of Pennsylvania,B+,0.88
Capital University,B+,0.72
LaGrange College,B+,0.57
Northwest University,B+,0.64
Bridgewater College,B+,0.49
Southeastern Louisiana University,B+,0.88
Auburn University - Montgomery,B+,0.79
University of Advancing Technology,B+,0.86
Southern Utah University,B+,0.72
Ramapo College of New Jersey,B+,0.53
Grace Bible College,B+,0.81
Indiana Institute of Technology,B+,0.7
Palm Beach State College,B+,1.0
Metropolitan State University of Denver,B+,0.65
Franklin University,B+,1.0
Mississippi University for Women,B+,0.96
Lee University,B+,0.85
New Jersey City University,B+,0.87
CUNY College of Staten Island,B+,0.98
Quinnipiac University,B+,0.69
